bus;Eg;Xd;H;D
1;1.1;0.3;3.4;0
4;1.1;0.3;3.4;0
6;1.1;0.3;3.4;0
8;1.1;0.3;3.4;0
10;1.1;0.3;3.4;0
12;1.1;0.3;3.4;0
15;1.1;0.3;3.4;0
18;1.1;0.3;3.4;0
19;1.1;0.3;3.4;0
24;1.1;0.3;3.4;0
25;1.1;0.3;3.4;0
26;1.1;0.3;3.4;0
27;1.1;0.3;3.4;0
31;1.1;0.3;3.4;0
32;1.1;0.3;3.4;0
34;1.1;0.3;3.4;0
36;1.1;0.3;3.4;0
40;1.1;0.3;3.4;0
42;1.1;0.3;3.4;0
46;1.1;0.3;3.4;0
49;1.1;0.3;3.4;0
54;1.1;0.3;3.4;0
55;1.1;0.3;3.4;0
56;1.1;0.3;3.4;0
59;1.1;0.3;3.4;0
61;1.1;0.3;3.4;0
62;1.1;0.3;3.4;0
65;1.1;0.3;3.4;0
66;1.1;0.3;3.4;0
69;1.1;0.3;5;0
70;1.1;0.3;3.4;0
72;1.1;0.3;3.4;0
73;1.1;0.3;3.4;0
74;1.1;0.3;3.4;0
76;1.1;0.3;3.4;0
77;1.1;0.3;3.4;0
80;1.1;0.3;3.4;0
85;1.1;0.3;3.4;0
87;1.1;0.3;3.4;0
89;1.1;0.3;4;0
90;1.1;0.3;3.4;0
91;1.1;0.3;3.4;0
92;1.1;0.3;3.4;0
99;1.1;0.3;3.4;0
100;1.1;0.3;3.4;0
103;1.1;0.3;3.4;0
104;1.1;0.3;3.4;0
105;1.1;0.3;3.4;0
107;1.1;0.3;3.4;0
110;1.1;0.3;3.4;0
111;1.1;0.3;3.4;0
112;1.1;0.3;3.4;0
113;1.1;0.3;3.4;0
116;1.1;0.3;3.4;0
