bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;90.0;49.0;0.0;0.0;1;1.0284;0.10384709049366261;115.0;1;1.06;0.94
2;1;56.0;15.0;0.0;0.0;1;1.0354;0.1350884841043611;115.0;1;1.06;0.94
3;1;20.0;0.0;0.0;0.0;1;0.9971;0.11588986233242347;230.0;1;1.06;0.94
4;1;0.0;0.0;0.0;0.0;1;1.0308;0.08220500776893293;345.0;1;1.06;0.94
5;1;353.0;130.0;0.0;0.0;1;1.0191;0.08168140899333462;115.0;1;1.06;0.94
6;1;120.0;41.0;0.0;0.0;1;1.0312;0.12199851471440364;115.0;1;1.06;0.94
7;1;0.0;0.0;0.0;0.0;1;0.9934;0.10803588069844901;230.0;1;1.06;0.94
8;2;63.0;14.0;0.0;0.0;1;1.0153;0.041887902047863905;115.0;1;1.06;0.94
9;1;96.0;43.0;0.0;0.0;1;1.0034;0.04974188368183839;115.0;1;1.06;0.94
10;2;153.0;33.0;0.0;0.0;1;1.0205;0.02356194490192345;230.0;1;1.06;0.94
11;1;83.0;21.0;0.0;0.0;1;1.0057;0.04293509959906051;115.0;1;1.06;0.94
12;1;0.0;0.0;0.0;0.0;1;0.9974;0.09093165402890457;230.0;1;1.06;0.94
13;1;58.0;10.0;0.0;0.0;1;0.9977;-0.009599310885968814;115.0;1;1.06;0.94
14;1;160.0;60.0;0.0;0.0;1;0.9991;-0.08395033702092725;115.0;1;1.06;0.94
15;1;126.7;23.0;0.0;0.0;1;1.0343;-0.1499237827463129;115.0;1;1.06;0.94
16;1;0.0;0.0;0.0;0.0;1;1.0315;-0.046251225177849735;345.0;1;1.06;0.94
17;1;561.0;220.0;0.0;0.0;1;1.0649;-0.22863813201125716;115.0;1;1.06;0.94
19;1;0.0;0.0;0.0;0.0;1;0.982;0.01884955592153876;230.0;1;1.06;0.94
20;2;605.0;120.0;0.0;0.0;1;1.001;-0.04293509959906051;115.0;1;1.06;0.94
21;1;77.0;1.0;0.0;0.0;1;0.9752;0.028274333882308142;230.0;1;1.06;0.94
22;1;81.0;23.0;0.0;0.0;1;0.9963;-0.03438298626428829;115.0;1;1.06;0.94
23;1;21.0;7.0;0.0;0.0;1;1.0501;0.06876597252857658;115.0;1;1.06;0.94
24;1;0.0;0.0;0.0;0.0;1;1.0057;0.10506882097005864;230.0;1;1.06;0.94
25;1;45.0;12.0;0.0;0.0;1;1.0234;0.025132741228718343;115.0;1;1.06;0.94
26;1;28.0;9.0;0.0;0.0;1;0.9986;-0.0301941960595019;115.0;1;1.06;0.94
27;1;69.0;13.0;0.0;0.0;1;0.975;-0.08552113334772216;115.0;1;1.06;0.94
33;1;55.0;6.0;0.0;0.0;1;1.0244;-0.2097885760897184;115.0;1;1.06;0.94
34;1;0.0;0.0;0.0;0.0;1;1.0414;-0.13857914260834978;345.0;1;1.06;0.94
35;1;0.0;0.0;0.0;0.0;1;0.9757;-0.44889868361294155;115.0;1;1.06;0.94
36;1;0.0;0.0;0.0;0.0;1;1.0011;-0.39426987802551905;230.0;1;1.06;0.94
37;1;85.0;32.0;0.0;0.0;1;1.0201;-0.19600047499896323;115.0;1;1.06;0.94
38;1;155.0;18.0;0.0;0.0;1;1.0202;-0.2192133540504878;115.0;1;1.06;0.94
39;1;0.0;0.0;0.0;0.0;1;1.0535;-0.10140362954087054;345.0;1;1.06;0.94
40;1;46.0;-21.0;0.0;0.0;1;1.0216;-0.22305307840487532;115.0;1;1.06;0.94
41;1;86.0;0.0;0.0;0.0;1;1.0292;-0.18238690683340741;115.0;1;1.06;0.94
42;1;0.0;0.0;0.0;0.0;1;1.0448;-0.12985249634837812;345.0;1;1.06;0.94
43;1;39.0;9.0;0.0;0.0;1;1.0006;-0.2930407814098479;115.0;1;1.06;0.94
44;1;195.0;29.0;0.0;0.0;1;1.0086;-0.30490902032340933;115.0;1;1.06;0.94
45;1;0.0;0.0;0.0;0.0;1;1.0215;-0.25726153174396416;230.0;1;1.06;0.94
46;1;0.0;0.0;0.0;0.0;1;1.0344;-0.20507618710933373;345.0;1;1.06;0.94
47;1;58.0;11.8;0.0;0.0;1;0.9777;-0.4043927876870862;115.0;1;1.06;0.94
48;1;41.0;19.0;0.0;0.0;1;1.0019;-0.28082347664588764;115.0;1;1.06;0.94
49;1;92.0;26.0;0.0;0.0;1;1.0475;-0.051487212933832724;115.0;1;1.06;0.94
