bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
24;389.42150000000004;107.06150000000001;329.42;-115.297;1.03;235.3;1;520.013;258.83000000000004;0.0;67.40756481087973;0.0
25;394.12750000000005;120.00300000000001;291.772;-51.766000000000005;1.03;235.3;1;470.6;317.65500000000003;0.0;67.40756481087973;0.0
37;1299.3;364.23;809.4;-80.94;1.03;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
37;1299.3;364.23;809.4;-80.94;1.03;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
38;1299.3;364.23;809.4;-80.94;1.03;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
38;1299.3;364.23;809.4;-80.94;1.03;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
39;1299.3;364.23;809.4;-80.94;1.03;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
40;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
40;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
40;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
41;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
41;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
41;1299.3;364.23;809.4;-80.94;1.0;426.0;1;1576.2;1022.4;0.0;25.124413145539908;0.0
57;381.875;139.825;357.2;-77.55;1.03;235.0;1;505.25;258.5;0.0;61.07234042553192;0.0
57;405.375;139.825;357.2;-77.55;1.03;235.0;1;517.0;293.75;0.0;61.07234042553192;0.0
58;411.25;136.29999999999998;350.15;-77.55;1.03;235.0;1;528.75;293.75;0.0;61.07234042553192;0.0
58;0.0;0.0;350.15;-77.55;1.03;235.0;0;528.75;282.0;0.0;61.07234042553192;0.0
58;393.625;136.29999999999998;350.15;-77.55;1.03;235.0;1;528.75;258.5;0.0;61.07234042553192;0.0
59;393.625;136.29999999999998;350.15;-77.55;1.03;235.0;1;528.75;258.5;0.0;61.07234042553192;0.0
60;2322.6;929.0400000000001;2134.44;-276.35999999999996;1.0;588.0;1;3145.7999999999997;1499.3999999999999;0.0;24.408163265306126;0.0
61;2381.4;729.12;2046.24;-588.0;1.0;588.0;1;3292.7999999999997;1470.0;0.0;24.408163265306126;0.0
70;415.95;110.44999999999999;246.75;-25.85;1.03;235.0;1;528.75;303.15000000000003;0.0;63.0468085106383;0.0
71;415.95;110.44999999999999;246.75;-25.85;1.03;235.0;1;528.75;303.15000000000003;0.0;63.0468085106383;0.0
71;0.0;0.0;232.65;-23.5;1.03;235.0;0;528.75;303.15000000000003;0.0;63.0468085106383;0.0
72;0.0;0.0;246.75;-25.85;1.0;235.0;0;528.75;303.15000000000003;0.0;63.0468085106383;0.0
72;415.95;110.44999999999999;246.75;-25.85;1.0;235.0;1;528.75;303.15000000000003;0.0;63.0468085106383;0.0
73;415.95;104.575;232.65;-23.5;1.0;235.0;1;528.75;303.15000000000003;0.0;63.0468085106383;0.0
73;415.95;110.44999999999999;246.75;-25.85;1.0;235.0;1;528.75;303.15000000000003;0.0;63.0468085106383;0.0
74;67.2;36.0;72.0;0.0;1.03;120.0;1;134.4;0.0;0.0;0.0;0.0
94;466.7850000000001;169.125;354.48600000000005;-16.236;1.03;270.6;1;595.32;338.25;0.0;49.534368070953434;0.0
94;493.845;169.125;354.48600000000005;-16.236;1.03;270.6;1;608.85;378.84000000000003;0.0;49.534368070953434;0.0
95;480.315;169.125;354.48600000000005;-16.236;1.03;270.6;1;608.85;351.78000000000003;0.0;49.534368070953434;0.0
95;473.55000000000007;169.125;354.48600000000005;-16.236;1.03;270.6;1;608.85;338.25;0.0;49.534368070953434;0.0
95;480.315;169.125;354.48600000000005;-16.236;1.03;270.6;1;608.85;351.78000000000003;0.0;49.534368070953434;0.0
98;1284.39;387.66;907.38;-132.06;1.0;426.0;1;1631.58;937.2;0.0;29.72300469483568;0.0
98;1305.9;191.532;518.007;-134.943;1.0;435.3;1;1654.1399999999999;957.6600000000001;0.0;29.08798529749598;0.0
115;0.72;0.0;0.0;0.0;1.03;12.0;1;1.44;0.0;0.0;0.0;0.0
115;0.18;0.0;0.0;0.0;1.03;6.0;1;0.36;0.0;0.0;0.0;0.0
121;0.0;0.0;324.72;-27.060000000000002;1.03;270.6;0;608.85;324.72;0.0;48.22246858832224;0.0
122;466.7850000000001;148.83;324.72;-27.060000000000002;1.03;270.6;1;608.85;324.72;0.0;48.22246858832224;0.0
123;142.5;54.0;109.5;-1.5;1.03;150.0;1;180.0;105.0;0.0;88.22000000000001;0.0
124;142.5;54.0;109.5;-1.5;1.03;150.0;1;180.0;105.0;0.0;88.22000000000001;0.0
134;0.0;0.0;120.0;0.0;1.03;150.0;0;180.0;105.0;0.0;91.06;0.0
135;142.5;60.0;120.0;0.0;1.03;150.0;1;180.0;105.0;0.0;91.06;0.0
136;111.625;18.2125;36.425;0.0;1.03;117.5;1;129.25;94.0;0.0;119.11489361702128;0.0
144;473.55000000000007;135.3;365.31000000000006;-94.71000000000001;1.03;270.6;1;581.7900000000001;365.31000000000006;0.0;47.379896526237985;0.0
145;473.55000000000007;135.3;365.31000000000006;-94.71000000000001;1.03;270.6;1;581.7900000000001;365.31000000000006;0.0;47.379896526237985;0.0
145;487.08000000000004;142.06500000000003;378.84000000000003;-94.71000000000001;1.03;270.6;1;608.85;365.31000000000006;0.0;47.379896526237985;0.0
146;487.08000000000004;140.71200000000002;378.84000000000003;-97.41600000000001;1.0;270.6;1;608.85;365.31000000000006;0.0;47.379896526237985;0.0
146;480.315;136.65300000000002;370.72200000000004;-97.41600000000001;1.0;270.6;1;595.32;365.31000000000006;0.0;47.379896526237985;0.0
152;0.0;0.0;108.0;-43.5;1.03;150.0;0;202.5;-202.5;0.0;91.6;0.0
152;0.0;0.0;108.0;-43.5;1.03;150.0;0;202.5;-202.5;0.0;91.6;0.0
153;0.0;0.0;108.0;-43.5;1.03;150.0;0;202.5;-202.5;0.0;91.6;0.0
153;0.0;0.0;108.0;-43.5;1.03;150.0;0;202.5;-202.5;0.0;91.6;0.0
154;160.5;52.5;127.5;-22.5;1.03;150.0;1;180.0;141.0;0.0;86.66;0.0
155;160.5;52.5;127.5;-22.5;1.03;150.0;1;180.0;141.0;0.0;86.66;0.0
155;0.0;0.0;127.5;-22.5;1.03;150.0;0;180.0;141.0;0.0;86.66;0.0
169;0.0;0.0;12.85;0.0;1.03;51.4;0;25.7;20.560000000000002;0.0;263.81322957198444;0.0
