bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
30;250;161.91;400;140;1.0499;100;1;350;0;0.0193;6.9;0
31;677.871;221.57;300;-100;0.982;100;1;650;0;0.0111;3.7;0
32;650;206.96;300;150;0.9841;100;1;800;0;0.0104;2.8;0
33;632;108.293;250;0;0.9972;100;1;750;0;0.0088;4.7;0
34;508;166.69;167;0;1.0123;100;1;650;0;0.0128;2.8;0
35;650;210.661;300;-100;1.0494;100;1;750;0;0.0094;3.7;0
36;560;100.16;240;0;1.0636;100;1;750;0;0.0099;4.8;0
37;540;-1.37;250;0;1.0275;100;1;700;0;0.0113;3.6;0
38;830;21.73;300;-150;1.0265;100;1;900;0;0.0071;3.7;0
39;1000;78.47;300;-100;1.03;100;1;1200;0;0.0064;3.9;0
