bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
30;250;161.91;800;-500;1.0499;100;1;820;800;0.069663;26.2438;31.67
31;677.871;221.57;800;-500;0.982;100;1;820;0;0.069663;26.2438;31.67
32;650;206.96;800;-500;0.9841;100;1;820;0;0.069663;26.2438;31.67
33;632;108.293;800;-500;0.9972;100;1;820;800;0.069663;26.2438;31.67
34;508;166.69;800;-500;1.0123;100;1;820;0;0.069663;26.2438;31.67
35;650;210.661;800;-500;1.0494;100;1;820;0;0.069663;26.2438;31.67
36;560;100.16;800;-500;1.0636;100;1;820;0;0.069663;26.2438;31.67
37;540;-1.37;800;-500;1.0275;100;1;820;0;0.069663;26.2438;31.67
38;830;21.73;800;-500;1.0265;100;1;820;0;0.069663;26.2438;31.67
39;1000;78.47;1500;-1000;1.03;100;1;1200;1000;0.069663;26.2438;31.67
