bus;Eg;Xd;H
4;0.0;0.0;0.0
4;0.0;0.0;0.0
5;0.0;0.0;0.0
11;0.0;0.0;0.0
11;0.0;0.0;0.0
17;0.0;0.0;0.0
19;0.0;0.0;0.0
22;0.0;0.0;0.0
24;0.0;0.0;0.0
24;0.0;0.0;0.0
25;0.0;0.0;0.0
25;0.0;0.0;0.0
40;0.0;0.0;0.0
47;0.0;0.0;0.0
47;0.0;0.0;0.0
48;0.0;0.0;0.0
48;0.0;0.0;0.0
57;0.0;0.0;0.0
64;0.0;0.0;0.0
64;0.0;0.0;0.0
69;0.0;0.0;0.0
70;0.0;0.0;0.0
85;0.0;0.0;0.0
86;0.0;0.0;0.0
102;0.0;0.0;0.0
122;0.0;0.0;0.0
124;0.0;0.0;0.0
125;0.0;0.0;0.0
125;0.0;0.0;0.0
132;0.0;0.0;0.0
132;0.0;0.0;0.0
132;0.0;0.0;0.0
132;0.0;0.0;0.0
137;0.0;0.0;0.0
137;0.0;0.0;0.0
155;0.0;0.0;0.0
158;0.0;0.0;0.0
158;0.0;0.0;0.0
176;0.0;0.0;0.0
187;0.0;0.0;0.0
187;0.0;0.0;0.0
190;0.0;0.0;0.0
192;0.0;0.0;0.0
194;0.0;0.0;0.0
194;0.0;0.0;0.0
217;0.0;0.0;0.0
224;0.0;0.0;0.0
227;0.0;0.0;0.0
236;0.0;0.0;0.0
236;0.0;0.0;0.0
238;0.0;0.0;0.0
238;0.0;0.0;0.0
246;0.0;0.0;0.0
246;0.0;0.0;0.0
246;0.0;0.0;0.0
246;0.0;0.0;0.0
256;0.0;0.0;0.0
256;0.0;0.0;0.0
258;0.0;0.0;0.0
261;0.0;0.0;0.0
269;0.0;0.0;0.0
282;0.0;0.0;0.0
295;0.0;0.0;0.0
296;0.0;0.0;0.0
305;0.0;0.0;0.0
312;0.0;0.0;0.0
312;0.0;0.0;0.0
317;0.0;0.0;0.0
317;0.0;0.0;0.0
319;0.0;0.0;0.0
325;0.0;0.0;0.0
332;0.0;0.0;0.0
333;0.0;0.0;0.0
336;0.0;0.0;0.0
338;0.0;0.0;0.0
338;0.0;0.0;0.0
345;0.0;0.0;0.0
345;0.0;0.0;0.0
348;0.0;0.0;0.0
357;0.0;0.0;0.0
357;0.0;0.0;0.0
364;0.0;0.0;0.0
391;0.0;0.0;0.0
409;0.0;0.0;0.0
411;0.0;0.0;0.0
411;0.0;0.0;0.0
431;0.0;0.0;0.0
440;0.0;0.0;0.0
447;0.0;0.0;0.0
462;0.0;0.0;0.0
462;0.0;0.0;0.0
464;0.0;0.0;0.0
464;0.0;0.0;0.0
466;0.0;0.0;0.0
470;0.0;0.0;0.0
470;0.0;0.0;0.0
479;0.0;0.0;0.0
479;0.0;0.0;0.0
479;0.0;0.0;0.0
491;0.0;0.0;0.0
508;0.0;0.0;0.0
519;0.0;0.0;0.0
520;0.0;0.0;0.0
530;0.0;0.0;0.0
530;0.0;0.0;0.0
530;0.0;0.0;0.0
537;0.0;0.0;0.0
537;0.0;0.0;0.0
546;0.0;0.0;0.0
548;0.0;0.0;0.0
570;0.0;0.0;0.0
570;0.0;0.0;0.0
570;0.0;0.0;0.0
583;0.0;0.0;0.0
585;0.0;0.0;0.0
586;0.0;0.0;0.0
589;0.0;0.0;0.0
593;0.0;0.0;0.0
600;0.0;0.0;0.0
610;0.0;0.0;0.0
610;0.0;0.0;0.0
612;0.0;0.0;0.0
612;0.0;0.0;0.0
612;0.0;0.0;0.0
613;0.0;0.0;0.0
613;0.0;0.0;0.0
624;0.0;0.0;0.0
633;0.0;0.0;0.0
636;0.0;0.0;0.0
636;0.0;0.0;0.0
646;0.0;0.0;0.0
657;0.0;0.0;0.0
675;0.0;0.0;0.0
675;0.0;0.0;0.0
676;0.0;0.0;0.0
676;0.0;0.0;0.0
684;0.0;0.0;0.0
685;0.0;0.0;0.0
689;0.0;0.0;0.0
689;0.0;0.0;0.0
689;0.0;0.0;0.0
689;0.0;0.0;0.0
700;0.0;0.0;0.0
700;0.0;0.0;0.0
700;0.0;0.0;0.0
702;0.0;0.0;0.0
702;0.0;0.0;0.0
703;0.0;0.0;0.0
703;0.0;0.0;0.0
704;0.0;0.0;0.0
704;0.0;0.0;0.0
710;0.0;0.0;0.0
710;0.0;0.0;0.0
710;0.0;0.0;0.0
710;0.0;0.0;0.0
737;0.0;0.0;0.0
738;0.0;0.0;0.0
739;0.0;0.0;0.0
739;0.0;0.0;0.0
741;0.0;0.0;0.0
741;0.0;0.0;0.0
742;0.0;0.0;0.0
749;0.0;0.0;0.0
749;0.0;0.0;0.0
750;0.0;0.0;0.0
751;0.0;0.0;0.0
756;0.0;0.0;0.0
763;0.0;0.0;0.0
765;0.0;0.0;0.0
765;0.0;0.0;0.0
766;0.0;0.0;0.0
766;0.0;0.0;0.0
767;0.0;0.0;0.0
767;0.0;0.0;0.0
767;0.0;0.0;0.0
767;0.0;0.0;0.0
771;0.0;0.0;0.0
771;0.0;0.0;0.0
791;0.0;0.0;0.0
791;0.0;0.0;0.0
792;0.0;0.0;0.0
806;0.0;0.0;0.0
806;0.0;0.0;0.0
807;0.0;0.0;0.0
807;0.0;0.0;0.0
808;0.0;0.0;0.0
808;0.0;0.0;0.0
812;0.0;0.0;0.0
820;0.0;0.0;0.0
820;0.0;0.0;0.0
821;0.0;0.0;0.0
821;0.0;0.0;0.0
821;0.0;0.0;0.0
821;0.0;0.0;0.0
831;0.0;0.0;0.0
831;0.0;0.0;0.0
834;0.0;0.0;0.0
835;0.0;0.0;0.0
836;0.0;0.0;0.0
838;0.0;0.0;0.0
838;0.0;0.0;0.0
841;0.0;0.0;0.0
843;0.0;0.0;0.0
843;0.0;0.0;0.0
862;0.0;0.0;0.0
862;0.0;0.0;0.0
869;0.0;0.0;0.0
870;0.0;0.0;0.0
890;0.0;0.0;0.0
890;0.0;0.0;0.0
894;0.0;0.0;0.0
894;0.0;0.0;0.0
894;0.0;0.0;0.0
894;0.0;0.0;0.0
912;0.0;0.0;0.0
945;0.0;0.0;0.0
949;0.0;0.0;0.0
970;0.0;0.0;0.0
972;0.0;0.0;0.0
978;0.0;0.0;0.0
978;0.0;0.0;0.0
988;0.0;0.0;0.0
988;0.0;0.0;0.0
988;0.0;0.0;0.0
990;0.0;0.0;0.0
992;0.0;0.0;0.0
1014;0.0;0.0;0.0
1014;0.0;0.0;0.0
1018;0.0;0.0;0.0
1030;0.0;0.0;0.0
1053;0.0;0.0;0.0
1055;0.0;0.0;0.0
1055;0.0;0.0;0.0
1062;0.0;0.0;0.0
1063;0.0;0.0;0.0
1070;0.0;0.0;0.0
1071;0.0;0.0;0.0
1075;0.0;0.0;0.0
1113;0.0;0.0;0.0
1113;0.0;0.0;0.0
1113;0.0;0.0;0.0
1113;0.0;0.0;0.0
1115;0.0;0.0;0.0
1115;0.0;0.0;0.0
1130;0.0;0.0;0.0
1133;0.0;0.0;0.0
1140;0.0;0.0;0.0
1152;0.0;0.0;0.0
1152;0.0;0.0;0.0
1215;0.0;0.0;0.0
1216;0.0;0.0;0.0
1226;0.0;0.0;0.0
1251;0.0;0.0;0.0
1251;0.0;0.0;0.0
1261;0.0;0.0;0.0
1263;0.0;0.0;0.0
1264;0.0;0.0;0.0
1268;0.0;0.0;0.0
1282;0.0;0.0;0.0
1282;0.0;0.0;0.0
1291;0.0;0.0;0.0
1291;0.0;0.0;0.0
1291;0.0;0.0;0.0
1308;0.0;0.0;0.0
1315;0.0;0.0;0.0
1315;0.0;0.0;0.0
1315;0.0;0.0;0.0
1318;0.0;0.0;0.0
1318;0.0;0.0;0.0
1320;0.0;0.0;0.0
1320;0.0;0.0;0.0
1328;0.0;0.0;0.0
1330;0.0;0.0;0.0
1330;0.0;0.0;0.0
1345;0.0;0.0;0.0
1349;0.0;0.0;0.0
1349;0.0;0.0;0.0
1359;0.0;0.0;0.0
1359;0.0;0.0;0.0
1359;0.0;0.0;0.0
1361;0.0;0.0;0.0
1362;0.0;0.0;0.0
1368;0.0;0.0;0.0
1368;0.0;0.0;0.0
1415;0.0;0.0;0.0
1425;0.0;0.0;0.0
1425;0.0;0.0;0.0
1438;0.0;0.0;0.0
1445;0.0;0.0;0.0
1459;0.0;0.0;0.0
1459;0.0;0.0;0.0
1459;0.0;0.0;0.0
1468;0.0;0.0;0.0
1469;0.0;0.0;0.0
