fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1;2;0.1;0.2;0.04;36;36;36;1;0;1;-30;30
1;4;0.05;0.2;0.04;72;72;72;1;0;1;-30;30
1;5;0.08;0.3;0.06;63.6;63.6;63.6;1;0;1;-30;30
2;3;0.05;0.25;0.06;36;36;36;1;0;1;-30;30
2;4;0.05;0.1;0.02;91.2;91.2;91.2;1;0;1;-30;30
2;5;0.1;0.3;0.04;42;42;42;1;0;1;-30;30
2;6;0.07;0.2;0.05;72;72;72;1;0;1;-30;30
3;5;0.12;0.26;0.05;36;36;36;1;0;1;-30;30
3;6;0.02;0.1;0.02;84;84;84;1;0;1;-30;30
4;5;0.2;0.4;0.08;18;18;18;1;0;1;-30;30
5;6;0.1;0.3;0.06;14.4;14.4;14.4;1;0;1;-30;30
